source_id,candidate_id,formula,surface,facet,reaction,adsorbate,site,reaction_energy,source,fallback_used
UmVhY3Rpb246MjYzNTI=,Rh16|Rh|111,Rh16,Rh,111,H2O(g) + 2.0H2S(g) - 2.0H2(g) + * -> 2.0HS* + O*,O,bridge,2.60668451957,Catalysis-Hub,False
UmVhY3Rpb246MjUxMjM=,Au16|Au|111,Au16,Au,111,2.0H2O(g) - -0.0H2(g) + 0.5N2(g) + * -> H2N* + 2.0HO*,OH,fcc,3.99607448818,Catalysis-Hub,False
UmVhY3Rpb246MzQ2MTk=,MoW15HO48|MoW15HO48|1,MoW15HO48,MoW15HO48,1,2.0H2O(g) - 1.5H2(g) + * -> OOH*,OOH,A,3.10304918,Catalysis-Hub,False
UmVhY3Rpb246MzQ2MjA=,MoW15O48|MoW15O48|1,MoW15O48,MoW15O48,1,2.0H2O(g) - 1.5H2(g) + * -> OOH*,OOH,B,4.45454918,Catalysis-Hub,False
UmVhY3Rpb246MjUxMjQ=,Au16|Au|111,Au16,Au,111,H2O(g) + 1.5H2(g) + N2(g) + * -> 2.0H2N* + HO*,OH,fcc,3.31569595829,Catalysis-Hub,False
UmVhY3Rpb246MjY5MjE=,Ir16|Ir|111,Ir16,Ir,111,3.0H2O(g) + H2S(g) - 2.5H2(g) + * -> 3.0HO* + S*,OH,fcc,5.97915887156,Catalysis-Hub,False
UmVhY3Rpb246MzQ2MjE=,MoW15O48|MoW15O48|1,MoW15O48,MoW15O48,1,2.0H2O(g) - 1.5H2(g) + * -> OOH*,OOH,A,4.15706981,Catalysis-Hub,False
UmVhY3Rpb246Mjk2Mjg=,Cu16|Cu|111,Cu16,Cu,111,CH4(g) + 3.0H2O(g) - 4.5H2(g) + * -> CH* + 3.0O*,O,bridge,11.1267457456,Catalysis-Hub,False
UmVhY3Rpb246MzA4MzU=,Pd16|Pd|111,Pd16,Pd,111,3.0H2O(g) - 2.5H2(g) + * -> H* + 3.0O*,O,fcc,6.25687351534,Catalysis-Hub,False
UmVhY3Rpb246MjUxMjU=,Au16|Au|111,Au16,Au,111,H2O(g) + 0.5H2(g) + 0.5N2(g) + * -> H2N* + HO*,OH,fcc,2.11893668389,Catalysis-Hub,False
UmVhY3Rpb246Mjc3ODQ=,Au16|Au|111,Au16,Au,111,2.0CH4(g) + 2.0H2O(g) - 3.0H2(g) + * -> 2.0CH3* + 2.0O*,O,ontop,12.092163544,Catalysis-Hub,False
UmVhY3Rpb246Mjk2Mjk=,Cu16|Cu|111,Cu16,Cu,111,2.0CH4(g) + 2.0H2O(g) - 5.0H2(g) + * -> 2.0CH* + 2.0O*,O,bridge,12.942530582,Catalysis-Hub,False
UmVhY3Rpb246MzIzMDY=,Pt16|Pt|111,Pt16,Pt,111,CH4(g) + 2.0H2O(g) - 4.0H2(g) + * -> C* + 2.0O*,O,bridge,8.10309313058,Catalysis-Hub,False
UmVhY3Rpb246MjE3NQ==,Rh3Sb|Rh3Sb|111,Rh3Sb,Rh3Sb,111,H2O(g) -> hfH2(g) + OH*,OH,,0.23615,Catalysis-Hub,False
UmVhY3Rpb246MjUxMjY=,Ir16|Ir|111,Ir16,Ir,111,3.0H2O(g) - 0.5H2(g) + 0.5N2(g) + * -> H2N* + 3.0HO*,OH,bridge,4.17428307976,Catalysis-Hub,False
UmVhY3Rpb246MjMxNg==,Pt3Pb|Pt3Pb|111,Pt3Pb,Pt3Pb,111,H2O(g) -> hfH2(g) + OH*,OH,,0.84615,Catalysis-Hub,False
UmVhY3Rpb246Mjk2MzA=,Cu16|Cu|111,Cu16,Cu,111,3.0CH4(g) + H2O(g) - 5.5H2(g) + * -> 3.0CH* + O*,O,bridge,14.1394388388,Catalysis-Hub,False
UmVhY3Rpb246MzQ2NDI=,CoW15HO48|CoW15HO48|1,CoW15HO48,CoW15HO48,1,H2O(g) - 0.5H2(g) + * -> OH*,OH,B,2.1234023,Catalysis-Hub,False
UmVhY3Rpb246MjUxMjc=,Ir16|Ir|111,Ir16,Ir,111,2.0H2O(g) + H2(g) + N2(g) + * -> 2.0H2N* + 2.0HO*,OH,bridge,3.71954197504,Catalysis-Hub,False
UmVhY3Rpb246Mjk2MzE=,Cu16|Cu|111,Cu16,Cu,111,CH4(g) + 2.0H2O(g) - 3.5H2(g) + * -> CH* + 2.0O*,O,bridge,8.32237268342,Catalysis-Hub,False
UmVhY3Rpb246MzQ2MjQ=,HfW15HO48|HfW15HO48|1,HfW15HO48,HfW15HO48,1,H2O(g) - 0.5H2(g) + * -> OH*,OH,B,1.28817361,Catalysis-Hub,False
UmVhY3Rpb246MzA4MzY=,Pd16|Pd|111,Pd16,Pd,111,2.0H2O(g) - H2(g) + * -> 2.0H* + 2.0O*,O,fcc,3.49711188792,Catalysis-Hub,False
