kind,candidate_id,formula,surface,site,PC1,PC2,dG_H,pred_dG_H,pred_sigma,near_zero_rank,priority_rank,dft_converged
train,Ag9Al3|Ag3Al|111,Ag9Al3,Ag3Al,hollow|A_A_B|FCC,-1.895954085595503,-5.555433086242205,0.2607153981453223,,,,,False
train,Ag9Al3|Ag3Al|111,Ag9Al3,Ag3Al,top|A,-1.1445036196458627,-5.028963545584174,0.9160521898457148,,,,,False
train,Ag9Al3|Ag3Al|111,Ag9Al3,Ag3Al,top|B,-1.132947865115187,-5.018445248103878,0.3434853528461019,,,,,False
train,Ag9Au3|Ag3Au|111,Ag9Au3,Ag3Au,bridge|A_B|A,-8.58711367305997,-6.195300330797037,0.4025973223406538,,,,,False
train,Ag9Au3|Ag3Au|111,Ag9Au3,Ag3Au,hollow|A_A_B|FCC,-8.839693646230423,-6.267737660378905,0.3406195860452783,,,,,False
train,Ag9Au3|Ag3Au|111,Ag9Au3,Ag3Au,hollow|A_A_B|HCP,-8.83420099248074,-6.261899722435851,0.3530821277463758,,,,,False
train,Ag9Bi3|Ag3Bi|111,Ag9Bi3,Ag3Bi,hollow,-7.285557839241901,-2.5656878576123368,0.4380253196441401,,,,,False
train,Ag9Bi3|Ag3Bi|111,Ag9Bi3,Ag3Bi,hollow|A_A_A|FCC,-7.933408662884083,-3.1074078973601686,0.4380253196441401,,,,,False
train,Ag9Bi3|Ag3Bi|111,Ag9Bi3,Ag3Bi,hollow|A_A_A|HCP,-7.9279160091344005,-3.1015699594171147,0.4537749964447641,,,,,False
train,Ag9Co3|Ag3Co|111,Ag9Co3,Ag3Co,bridge|A_B|A,-6.365531300517245,-3.2737686651111244,-0.0423198244597813,,,,,False
train,Ag9Co3|Ag3Co|111,Ag9Co3,Ag3Co,hollow,-5.989381909434689,-2.8358405183338444,-0.0883542749570267,,,,,False
train,Ag9Co3|Ag3Co|111,Ag9Co3,Ag3Co,hollow|A_A_A|HCP,-6.631740079327188,-3.371722620138622,0.5661343379406674,,,,,False
train,Ag9Co3|Ag3Co|111,Ag9Co3,Ag3Co,hollow|A_A_B|FCC,-6.6181112736877,-3.3462059946929927,-0.0657835204610535,,,,,False
train,Ag9Co3|Ag3Co|111,Ag9Co3,Ag3Co,hollow|A_A_B|HCP,-6.612618619938018,-3.3403680567499388,-0.0883542749570267,,,,,False
train,Ag9Co3|Ag3Co|111,Ag9Co3,Ag3Co,top|B,-5.8551050532073825,-2.8092181565546652,0.1112586410390861,,,,,False
train,Ag9Cr3|Ag3Cr|111,Ag9Cr3,Ag3Cr,hollow|A_A_A|HCP,-5.72156279263941,-4.603337918754587,0.7583209951417587,,,,,False
train,Ag9Cr3|Ag3Cr|111,Ag9Cr3,Ag3Cr,hollow|A_A_B|FCC,-5.707933986999921,-4.577821293308958,-0.2434012027578944,,,,,False
train,Ag9Cr3|Ag3Cr|111,Ag9Cr3,Ag3Cr,hollow|A_A_B|HCP,-5.702441333250238,-4.571983355365904,-0.3059894264578986,,,,,False
train,Ag9Cu3|Ag3Cu|111,Ag9Cu3,Ag3Cu,hollow|A_A_B|FCC,-8.399374192625208,-3.7384714043931546,0.17736107893964,,,,,False
train,Ag9Cu3|Ag3Cu|111,Ag9Cu3,Ag3Cu,top|A,-7.64792372667557,-3.212001863735124,0.8466056089391998,,,,,False
train,Ag9Fe3|Ag3Fe|111,Ag9Fe3,Ag3Fe,top|B,-5.42933188246656,-3.235046257940706,0.2400382838395955,,,,,False
train,Ag9Ga3|Ag3Ga|111,Ag9Ga3,Ag3Ga,hollow|A_A_A|HCP,-5.972580388021562,-3.5893324124452253,0.3677878398457608,,,,,False
train,Ag9Ga3|Ag3Ga|111,Ag9Ga3,Ag3Ga,hollow|A_A_B|FCC,-5.958951582382074,-3.563815786999596,0.4903824712464768,,,,,False
train,Ag9Hf3|Ag3Hf|111,Ag9Hf3,Ag3Hf,hollow|A_A_B|FCC,-5.15727566273754,-6.204636818999329,-0.2489047051558088,,,,,False
train,Ag9Hg3|Ag3Hg|111,Ag9Hg3,Ag3Hg,top|A,-8.388278286206912,-5.220260205040722,0.9278745837373492,,,,,False
train,Ag9Ir3|Ag3Ir|111,Ag9Ir3,Ag3Ir,top|B,-6.838875072664516,-4.827995594198082,-0.5486835413603046,,,,,False
train,Ag9La3|Ag3La|111,Ag9La3,Ag3La,bridge|A_A|B,-4.364255585745488,-5.34409625997595,0.0406928558377615,,,,,False
train,Ag9La3|Ag3La|111,Ag9La3,Ag3La,hollow|A_A_B|FCC,-4.619931281860336,-5.409873857888166,0.0575870435359604,,,,,False
train,Ag9La3|Ag3La|111,Ag9La3,Ag3La,top|A,-3.8684808159106994,-4.883404317230134,0.5569378425362004,,,,,False
train,Ag9Nb3|Ag3Nb|111,Ag9Nb3,Ag3Nb,bridge|A_B|A,-5.90143291545436,-4.37160625864564,-0.3284271173606328,,,,,False
train,Ag9Nb3|Ag3Nb|111,Ag9Nb3,Ag3Nb,hollow|A_A_A|FCC,-6.173134348013987,-4.475398151616191,0.2767419507372608,,,,,False
train,Ag9Nb3|Ag3Nb|111,Ag9Nb3,Ag3Nb,hollow|A_A_A|HCP,-6.167641694264304,-4.469560213673137,0.8406727108386178,,,,,False
train,Ag9Nb3|Ag3Nb|111,Ag9Nb3,Ag3Nb,hollow|A_A_B|HCP,-6.148520234875134,-4.438205650284456,-0.3711555207619028,,,,,False
train,Ag9Nb3|Ag3Nb|111,Ag9Nb3,Ag3Nb,top|B,-5.391006668144501,-3.907055750089179,-0.2166703719621807,,,,,False
train,Ag9Ni3|Ag3Ni|111,Ag9Ni3,Ag3Ni,bridge|A_A|A,-6.969444991942205,-3.2467938046443847,0.4850159781426839,,,,,False
train,Ag9Ni3|Ag3Ni|111,Ag9Ni3,Ag3Ni,top|B,-6.45055871304606,-2.765065266937978,0.0763910622418109,,,,,False
